# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	15370
#@/user_id	18d226a2-3005-45e4-94cb-81c4e0a458f1
du wei ti jiao 	读未提交	c=2 d=0.900325 t=15370
du xiang 	独享	c=1 d=1 t=15233
du xie suo 	读写锁	c=1 d=2.30004e-05 t=15370
du yin 	读音	c=1 d=0.83527 t=15370
duan 	断	c=1 d=0.0366992 t=15370
duan 	短	c=1 d=0.0368832 t=15370
duan 	端	c=3 d=0.166754 t=15370
duan dian 	断电	c=1 d=0.114178 t=15370
duan kou 	端口	c=2 d=1.00995 t=13487
duan kou hao 	端口号	c=2 d=1.94176 t=13368
dui 	堆	c=2 d=0.34067 t=15370
dui 	对	c=24 d=1.00315 t=15370
dui fang 	对方	c=2 d=1.00102 t=14860
dui hua 	对话	c=1 d=0.00740944 t=15370
dui lie 	队列	c=11 d=1.52137 t=15370
dui xiang 	对象	c=16 d=0.869358 t=15370
dui ying 	对应	c=19 d=0.696239 t=15370
dui yu 	对于	c=1 d=0.22091 t=15370
dui zhe 	对着	c=1 d=1 t=15188
duo 	多	c=9 d=0.196912 t=15370
duo chu 	多出	c=1 d=0.0833256 t=15370
duo ci 	多次	c=2 d=0.182684 t=15370
duo duan 	多端	c=1 d=0.136014 t=15370
duo duan tong bu 	多端同步	c=1 d=0.138761 t=15370
duo ge 	多个	c=9 d=1.26466 t=15370
duo hang 	多行	c=2 d=0.281731 t=15370
duo ji 	多级	c=2 d=1.97045 t=13993
duo jiu 	多久	c=2 d=0.0555762 t=15370
duo lu fu yong 	多路复用	c=1 d=1 t=15155
duo ren wu 	多任务	c=1 d=0.0057417 t=15370
duo shao 	多少	c=4 d=0.496585 t=15370
duo shao ci 	多少次	c=1 d=0.202909 t=15370
duo shu 	多数	c=1 d=1 t=15099
duo xian cheng 	多线程	c=25 d=0.986137 t=15370
duo yi ci 	多一次	c=1 d=5.1578e-06 t=15370
duo yu 	多余	c=2 d=0.131335 t=15370
e han mo shi 	饿汉模式	c=1 d=0.0291588 t=15370
e si 	饿死	c=2 d=0.311349 t=15370
er 	二	c=2 d=0.320201 t=15370
er 	而	c=19 d=0.958123 t=15370
er bu 	而不	c=0 d=0.1 t=15052
er bu shi 	而不是	c=25 d=2.44752 t=15370
er bu shi yong 	而不使用	c=1 d=1 t=15053
er dao zhi 	而导致	c=1 d=5.08101e-06 t=15370
er duan 	二段	c=2 d=1.7964e-05 t=15370
er duan xian 	二段线	c=1 d=7.61797e-06 t=15370
er duan xing 	二段性	c=4 d=1.6453e-05 t=15370
er fen 	二份	c=1 d=0.285076 t=15370
er fen 	二分	c=2 d=1.01624 t=12900
er fen cha zhao 	二分查找	c=8 d=1.55714 t=15370
er ji 	二级	c=1 d=0.402524 t=15370
er mei you 	而没有	c=1 d=0.324652 t=15370
er qie 	而且	c=17 d=0.951961 t=15370
er shi 	而是	c=9 d=0.209494 t=15370
er wei ma 	二维码	c=1 d=1 t=14160
er yi 	而已	c=1 d=1 t=11962
er yuan 	二元	c=0 d=0.000546167 t=15370
er yuan xin hao liang 	二元信号量	c=1 d=0.00548905 t=15370
fa 	法	c=5 d=0.123687 t=15370
fa bu 	发布	c=5 d=1.63902 t=15370
fa chu 	发出	c=1 d=8.91973e-09 t=15370
fa san 	发散	c=2 d=0.70822 t=15370
fa san xing 	发散性	c=1 d=0.985112 t=15370
fa sheng 	发生	c=4 d=0.400517 t=15370
fa song 	发送	c=18 d=0.516444 t=15370
fa song duan 	发送端	c=1 d=1 t=13245
fa xian 	发现	c=44 d=2.00892 t=15370
fa yin 	发音	c=6 d=7.96957e-08 t=15370
fan dai 	反代	c=2 d=1.95123 t=13721
fan hui 	返回	c=23 d=2.32395 t=15370
fan hui zhi 	返回值	c=3 d=0.0359725 t=15370
fan kui 	反馈	c=5 d=0.726084 t=15370
fan ren 	凡人	c=3 d=1.16393 t=15283
fan ren xiu xian zhuan 	凡人修仙传	c=1 d=0.131994 t=15370
fan wei 	范围	c=1 d=0.532592 t=15370
fan xu lie hua 	反序列化	c=1 d=1 t=15340
fan yi 	翻译	c=8 d=0.433946 t=15370
fan zhuan 	翻转	c=2 d=0.272059 t=15370
fang 	放	c=3 d=0.895834 t=15370
fang an 	方案	c=6 d=0.839238 t=15370
fang bian 	方便	c=11 d=1.965 t=15370
fang fa 	方法	c=45 d=1.02713 t=15370
fang kuang 	方框	c=1 d=1 t=12059
fang ru 	放入	c=4 d=0.391089 t=15370
fang shi 	方式	c=5 d=0.0407622 t=15370
fang wen 	访问	c=34 d=1.5224 t=15370
fang xiang 	方向	c=2 d=0.0113334 t=15370
fang yu 	防御	c=1 d=0.895834 t=15370
fang zai 	放在	c=3 d=0.12938 t=15370
fang zhi 	防止	c=11 d=0.244143 t=15370
fei 	非	c=8 d=0.90957 t=15370
fei bi yao 	非必要	c=1 d=0.83527 t=15370
fei gong ping 	非公平	c=1 d=2.19883e-05 t=15370
fei zi yuan 	非自愿	c=1 d=0.216536 t=15370
fen 	分	c=3 d=1.41485 t=15370
fen bie 	分别	c=7 d=0.685309 t=15370
fen ge 	分割	c=1 d=0.472367 t=15370
fen lei 	分类	c=2 d=0.0295407 t=15370
fen li 	分离	c=1 d=1 t=14026
fen pei 	分配	c=6 d=0.259146 t=15370
fen pi ci 	分批次	c=1 d=0.00975476 t=15370
fen wei 	分为	c=16 d=0.528805 t=15370
fen xi 	分析	c=19 d=1.2696 t=15370
fen xiang 	分享	c=1 d=1 t=12438
fen yong 	分用	c=7 d=5.47314 t=13381
fen zhong 	分钟	c=1 d=1 t=11684
fen zhuang 	分装	c=4 d=2.12999 t=14868
feng jin 	封禁	c=1 d=1 t=12966
feng xian 	风险	c=1 d=0.447088 t=15370
feng zhuang 	封装	c=6 d=4.65496 t=13375
fou ding 	否定	c=1 d=1 t=13496
fu gai 	覆盖	c=8 d=0.882497 t=15370
fu gei 	付给	c=1 d=0.0411719 t=15370
fu he 	符合	c=4 d=0.829732 t=15370
fu he suo yin 	复合索引	c=3 d=0.500056 t=15370
fu mo 	抚摸	c=1 d=0.254107 t=15370
fu wu 	服务	c=5 d=1.08473 t=15370
fu wu duan 	服务端	c=5 d=2.84009 t=15024
fu wu qi 	服务器	c=6 d=0.627328 t=15370
fu wu yu 	服务于	c=1 d=0.162838 t=15370
fu xian 	复现	c=6 d=0.920586 t=15370
fu za 	复杂	c=7 d=0.76559 t=15370
fu ze 	负责	c=3 d=0.16696 t=15370
fu ze ren 	负责人	c=1 d=0.0301974 t=15370
fu zhi 	复制	c=10 d=0.479505 t=15370
fu zhi 	赋值	c=18 d=3.50131 t=15370
gai 	该	c=1 d=0.396532 t=15370
gai jin 	改进	c=1 d=0.0478349 t=15370
gai kuo 	概括	c=1 d=0.194952 t=15370
gai lv 	概率	c=3 d=8.94149e-05 t=15370
gai nian 	概念	c=22 d=1.77948 t=15370
gai shan 	改善	c=1 d=0.360595 t=15370
gai shu 	概述	c=1 d=1 t=12981
gai wei 	改为	c=2 d=0.126818 t=15370
gai yao 	概要	c=1 d=0.179066 t=15370
gai yi xia 	改一下	c=1 d=1 t=15170
gai zhu 	盖住	c=1 d=1 t=15178
gan jue 	感觉	c=9 d=0.854224 t=15370
gan le 	干了	c=2 d=1.9802 t=13337
gan rao 	干扰	c=4 d=1.0449 t=15370
gan xie 	感谢	c=1 d=1 t=12436
gang gang 	刚刚	c=1 d=0.0393602 t=15370
gang hao 	刚好	c=6 d=1.73464 t=15370
gang kai shi 	刚开始	c=1 d=0.353455 t=15370
gang wei 	岗位	c=1 d=0.271173 t=15370
gao 	高	c=3 d=0.554327 t=15370
gao bie 	告别	c=1 d=0.0194482 t=15370
gao bing fa 	高并发	c=2 d=0.336216 t=15370
gao ji 	高级	c=1 d=0.242926 t=15370
gao kao 	高考	c=1 d=0.18452 t=15370
gao pin 	高频	c=3 d=0.649472 t=15370
gao su 	告诉	c=7 d=0.895834 t=15370
gao tie 	高铁	c=1 d=0.767206 t=15370
gao xiao 	高效	c=4 d=1.75621 t=15370
gao xing neng 	高性能	c=1 d=0.0195457 t=15370
ge 	个	c=10 d=0.925923 t=15370
ge 	哥	c=1 d=0.70822 t=15370
ge ge 	各个	c=14 d=0.830934 t=15370
ge li 	隔离	c=1 d=0.882497 t=15370
ge li xing 	隔离型	c=1 d=0.166127 t=15370
ge li xing 	隔离性	c=3 d=0.451802 t=15370
ge ren 	个人	c=10 d=1.59869 t=15370
ge shi 	格式	c=4 d=0.349938 t=15370
ge shi hua 	格式化	c=2 d=1.23278e-05 t=15370
ge shu 	个数	c=15 d=0.413603 t=15370
ge wei shu 	个位数	c=1 d=0.155673 t=15370
ge xing hua 	个性化	c=1 d=4.54077e-07 t=15370
ge zhong ge yang 	各种各样	c=1 d=0.00341356 t=15370
ge zi 	各自	c=1 d=0.715338 t=15370
gei 	给	c=20 d=1.30728 t=15370
gei chu 	给出	c=3 d=1.06291 t=15370
gei ni 	给你	c=2 d=1.00199 t=13678
gei wo 	给我	c=18 d=1.50017 t=15370
gei wo men 	给我们	c=1 d=0.941765 t=15370
gei yi ge 	给一个	c=1 d=0.000127168 t=15370
gen 	跟	c=1 d=1 t=14134
gen ben 	根本	c=2 d=0.220602 t=15370
gen ju 	根据	c=14 d=1.34848 t=15370
gen lu jing 	根路径	c=1 d=1 t=14135
gen zhe 	跟着	c=1 d=0.431711 t=15370
geng duo 	更多	c=1 d=0.0702988 t=15370
geng gai 	更改	c=2 d=1.96561 t=12702
geng gao 	更高	c=1 d=0.0222592 t=15370
geng hao 	更好	c=1 d=0.891367 t=15370
geng jia 	更加	c=1 d=0.467666 t=15370
geng ju 	更具	c=1 d=1.57291e-05 t=15370
geng pian yi 	更便宜	c=1 d=1 t=14310
geng xin 	更新	c=44 d=1.63601 t=15370
gong chang 	工厂	c=4 d=3.99101e-06 t=15370
gong cheng 	工程	c=1 d=4.36272e-07 t=15370
gong gong 	公共	c=1 d=0.99005 t=15370
gong ji 	攻击	c=3 d=1.07013 t=15370
gong ju 	工具	c=8 d=0.976966 t=15370
gong neng 	功能	c=27 d=2.63214 t=15370
gong neng ce shi 	功能测试	c=1 d=0.591555 t=15370
gong ping 	公平	c=2 d=5.30506e-05 t=15370
gong ping suo 	公平锁	c=3 d=0.0069937 t=15370
gong shi 	公式	c=2 d=5.5446e-07 t=15370
gong tong dian 	共同点	c=2 d=0.874305 t=15370
gong wo 	供我	c=1 d=1 t=13275
gong yi 	公益	c=1 d=1 t=14211
gong yong 	共用	c=1 d=0.774916 t=15370
gong zuo 	工作	c=9 d=1.42596 t=15370
gong zuo liang 	工作量	c=3 d=0.31572 t=15370
gou jian 	构建	c=6 d=1.18338 t=15370
gou liang 	狗粮	c=3 d=2.93654 t=14340
gou quan 	钩拳	c=1 d=1 t=11908
gou tong 	沟通	c=2 d=0.919524 t=15370
gou wu 	购物	c=7 d=2.67984 t=15370
gou xuan 	勾选	c=1 d=1 t=11909
gou zao 	构造	c=8 d=0.00221283 t=15370
gou zao fang fa 	构造方法	c=1 d=0.00231117 t=15370
gu ding 	固定	c=4 d=0.157477 t=15370
gu ge 	谷歌	c=9 d=0.0191388 t=15370
gu ji 	估计	c=2 d=0.486752 t=15370
gua qi 	挂起	c=0 d=2.14454e-06 t=15370
gua qi deng dai 	挂起等待	c=1 d=2.15529e-05 t=15370
guan bi 	关闭	c=17 d=1.07361 t=15370
guan cha 	观察	c=6 d=0.574072 t=15370
guan che 	贯彻	c=1 d=0.449329 t=15370
guan chuan 	贯穿	c=2 d=0.353455 t=15370
guan fang qun 	官方群	c=1 d=0.0497871 t=15370
guan jian zi 	关键字	c=4 d=0.362402 t=15370
guan kan 	观看	c=3 d=0.17552 t=15370
guan le 	关了	c=1 d=1 t=11880
guan li 	管理	c=6 d=0.19398 t=15370
guan ta 	管他	c=1 d=1 t=15319
guan wang 	官网	c=2 d=0.00513033 t=15370
guan wang qun 	官网群	c=1 d=0.0515605 t=15370
guan xi 	关系	c=8 d=0.620962 t=15370
guan yu 	关于	c=1 d=0.722527 t=15370
guang gao 	广告	c=1 d=0.0426384 t=15370
guang xian 	光纤	c=2 d=1.00985 t=13470
guang xin hao 	光信号	c=2 d=1.99005 t=13406
guang yu wang 	广域网	c=1 d=1 t=12561
gui fan 	规范	c=1 d=0.647265 t=15370
gui hua 	规划	c=1 d=1 t=13378
gui yi 	诡异	c=1 d=1 t=12480
gui ze 	规则	c=1 d=0.232237 t=15370
gun dong 	滚动	c=5 d=0.135101 t=15370
gun dong tiao 	滚动条	c=3 d=0.248444 t=15370
gun lun 	滚轮	c=1 d=0.0294518 t=15370
guo 	过	c=7 d=0.625003 t=15370
guo chang 	过长	c=1 d=0.0880368 t=15370
guo cheng 	过程	c=8 d=0.766932 t=15370
guo cheng zhong 	过程中	c=1 d=1 t=15370
guo da 	过大	c=1 d=2.21023e-07 t=15370
guo du 	过渡	c=1 d=1 t=11838
guo duo 	过多	c=1 d=1.14512e-06 t=15370
guo hou 	过后	c=1 d=7.56298e-09 t=15370
guo le 	过了	c=7 d=2.01696 t=15370
guo shi 	过时	c=1 d=5.58833e-08 t=15370
guo zhong 	过重	c=1 d=0.108609 t=15370
ha xi biao 	哈希表	c=3 d=0.207549 t=15370
hai 	还	c=4 d=0.467452 t=15370
hai ke yi 	还可以	c=5 d=0.638279 t=15370
hai mei 	还没	c=1 d=1 t=11819
hai mei you 	还没有	c=2 d=0.514274 t=15370
hai shi 	还是	c=12 d=0.952562 t=15370
hai xu yao 	还需要	c=3 d=0.258347 t=15370
hai yao 	还要	c=1 d=0.798516 t=15370
hai you 	还有	c=1 d=1 t=13760
hai you mei you 	还有没有	c=1 d=0.860708 t=15370
hai you shen me 	还有什么	c=1 d=0.302704 t=15370
hai zi 	孩子	c=2 d=1.97045 t=12304
han shu 	函数	c=4 d=1.98023 t=14495
han yi 	含义	c=2 d=9.09837e-07 t=15370
hang 	行	c=2 d=0.224703 t=15370
hang nei 	行内	c=3 d=0.123871 t=15370
hang nei dai ma kuai 	行内代码块	c=2 d=0.312201 t=15370
hang nie 	行捏	c=1 d=1.87404e-07 t=15370
hang shu 	行数	c=4 d=1.31351e-07 t=15370
hang zhou 	杭州	c=4 d=1.05621 t=13806
hao 	号	c=3 d=0.244302 t=15370
hao 	好	c=3 d=2.08093 t=13499
hao chu 	好处	c=1 d=1 t=12620
hao de 	好的	c=4 d=1.00008 t=14083
hao ji lun 	好几轮	c=1 d=0.852144 t=15370
hao le 	好了	c=4 d=0.843665 t=15370
hao qi 	好奇	c=1 d=0.00381048 t=15370
hao xiang 	好像	c=1 d=1 t=14257
he 	合	c=1 d=0.491644 t=15370
he 	和	c=24 d=0.845517 t=15370
he bing 	合并	c=2 d=0.00676539 t=15370
he bu he shi 	合不合适	c=1 d=0.715338 t=15370
he fa 	合法	c=1 d=0.955997 t=15370
he li 	合理	c=7 d=1.42212 t=15370
he li ma 	合理吗	c=1 d=1 t=15258
he shi 	合适	c=3 d=0.138164 t=15370
he shui 	喝水	c=1 d=0.640824 t=15370
he xin 	核心	c=6 d=0.57695 t=15370
hei 	黑	c=1 d=0.0218184 t=15370
hei he 	黑盒	c=1 d=0.0617291 t=15370
hei se 	黑色	c=16 d=2.0001 t=15370
hen 	很	c=1 d=0.0415857 t=15370
hen bu 	很不	c=1 d=1.2625e-07 t=15370
hen bu hao 	很不好	c=1 d=0.687289 t=15370
hen da 	很大	c=1 d=0.0110536 t=15370
hen di 	很低	c=1 d=1 t=14927
hen duo 	很多	c=2 d=0.0231676 t=15370
hen jian dan 	很简单	c=1 d=1 t=14357
hen ka 	很卡	c=1 d=1 t=14727
hen kuai 	很快	c=2 d=0.000159256 t=15370
hen ming xian 	很明显	c=1 d=0.71177 t=15370
hen qi guai 	很奇怪	c=1 d=0.331211 t=15370
hen wu liao 	很无聊	c=1 d=1 t=15311
hen xiang 	很响	c=1 d=0.110251 t=15370
heng liang 	衡量	c=1 d=0.0148464 t=15370
hou 	后	c=68 d=2.12613 t=15370
hou duan 	后端	c=1 d=0.0578443 t=15370
hou mian 	后面	c=4 d=0.617045 t=15370
hou tai 	后台	c=6 d=0.840811 t=15370
hou tai xian cheng 	后台线程	c=2 d=0.554573 t=15370
hou zhe 	后者	c=2 d=0.349938 t=15370
hou zhui 	后缀	c=1 d=0.637628 t=15370
hu bu gan rao 	互不干扰	c=1 d=0.802519 t=15370
hu chi 	互斥	c=2 d=0.826959 t=15370
hu lian 	互联	c=1 d=1 t=12552
hu ran 	忽然	c=1 d=0.263158 t=15370
hu xiang 	互相	c=1 d=0.970446 t=15370
hu yan 	护眼	c=1 d=0.0239928 t=15370
hua 	化	c=2 d=0.852144 t=15370
hua 	画	c=1 d=0.814647 t=15370
hua 	话	c=5 d=0.449329 t=15370
hua dong 	滑动	c=17 d=1.99822 t=15370
hua dong chuang kou 	滑动窗口	c=5 d=0.903082 t=15370
hua fei 	花费	c=1 d=0.467666 t=15370
hua tu 	画图	c=4 d=0.806541 t=15370
hua yuan 	花园	c=1 d=1 t=15282
huan 	换	c=1 d=1 t=12625
huan chong qu 	缓冲区	c=4 d=3.75763 t=14963
huan cun 	缓存	c=1 d=1 t=14857
huan du 	幻读	c=10 d=5.41615 t=15370
huan er yan zhi 	换而言之	c=1 d=0.00154923 t=15370
huan ge 	换个	c=1 d=1 t=12056
huan hang 	换行	c=2 d=0.205069 t=15370
huan jie 	缓解	c=1 d=0.25924 t=15370
huan jing 	环境	c=5 d=1.03854 t=15370
huan wei 	换为	c=1 d=1 t=14630
huan xing 	唤醒	c=2 d=0.353455 t=15370
hui 	会	c=56 d=2.23063 t=15370
hui ba 	会把	c=1 d=0.0401553 t=15370
hui bao 	汇报	c=2 d=0.0590129 t=15370
hui bi 	会比	c=1 d=1 t=14308
hui bian hao 	会变好	c=1 d=0.496585 t=15370
hui bu hui 	会不会	c=4 d=0.0438235 t=15370
hui che jian 	回车键	c=1 d=0.0409665 t=15370
hui cheng 	回程	c=1 d=1 t=13901
hui chu xian 	会出现	c=6 d=0.280832 t=15370
hui da 	回答	c=1 d=0.0337087 t=15370
hui du ce shi 	灰度测试	c=1 d=0.582748 t=15370
hui fu 	恢复	c=2 d=0.509156 t=15370
hui gu 	回顾	c=1 d=0.0277367 t=15370
hui gun 	回滚	c=2 d=0.506617 t=15370
hui kao 	会考	c=1 d=2.38854e-08 t=15370
hui kuan 	汇款	c=1 d=0.198891 t=15370
hui shi fang 	会释放	c=1 d=0.355226 t=15370
hui shou 	回收	c=1 d=0.166127 t=15370
hui tui 	回退	c=1 d=0.951229 t=15370
hui yi 	会议	c=4 d=0.124953 t=15370
hui yi 	回忆	c=1 d=0.0623495 t=15370
hui you 	会有	c=5 d=0.389 t=15370
hui yuan 	会员	c=1 d=1 t=14261
hui zhe yang 	会这样	c=1 d=1.30747e-07 t=15370
hun luan 	混乱	c=0 d=0.00112769 t=15370
huo 	或	c=2 d=0.0191587 t=15370
huo qu 	获取	c=53 d=1.02542 t=15370
huo qu dao 	获取到	c=1 d=0.0724398 t=15370
huo rong 	火绒	c=1 d=0.537944 t=15370
huo zhe 	或者	c=13 d=1.02741 t=15370
ji 	几	c=1 d=0.162026 t=15370
ji 	挤	c=2 d=0.343617 t=15370
ji 	既	c=4 d=1.22094 t=15370
ji 	级	c=4 d=1.09483 t=15370
ji ben 	基本	c=7 d=0.648287 t=15370
ji ben dan wei 	基本单位	c=1 d=0.67032 t=15370
ji ben liu 	基本流	c=3 d=1.831e-07 t=15370
ji ben shang 	基本上	c=1 d=1 t=12723
ji bie 	级别	c=7 d=1.77828 t=15370
ji cheng 	集成	c=1 d=0.185444 t=15370
ji chu 	基础	c=6 d=0.828693 t=15370
ji cun qi 	寄存器	c=2 d=0.592918 t=15370
ji da gai lv 	极大概率	c=1 d=0.00937227 t=15370
ji de 	记得	c=2 d=1.00543 t=13153
ji dian 	几点	c=2 d=1.99005 t=15250
ji ge 	几个	c=1 d=0.486752 t=15370
ji he 	集合	c=3 d=0.15259 t=15370
ji he lei 	集合类	c=4 d=0.0765186 t=15370
ji hua 	计划	c=10 d=0.922796 t=15370
ji hua an pai 	计划安排	c=1 d=0.031273 t=15370
ji huo 	激活	c=4 d=1.00045 t=14207
ji ke 	即可	c=30 d=3.36316 t=15370
ji ke yi 	既可以	c=2 d=0.00306858 t=15370
ji lu 	记录	c=9 d=0.904837 t=15370
ji neng 	机能	c=1 d=1 t=12432
ji qi 	机器	c=4 d=0.257947 t=15370
ji qi 	极其	c=8 d=0.354492 t=15370
ji qi ren 	机器人	c=2 d=1.96079 t=14212
ji ran 	既然	c=3 d=6.29006e-06 t=15370
ji shi 	即使	c=1 d=5.17027e-05 t=15370
ji shi 	及时	c=2 d=2.80314e-05 t=15370
ji shi ben 	记事本	c=1 d=0.460704 t=15370
ji shi wan 	几十万	c=1 d=0.305746 t=15370
ji shi wan ci 	几十万次	c=1 d=0.130029 t=15370
ji shi zhi 	几十只	c=1 d=1 t=14716
ji shu 	技术	c=1 d=0.412714 t=15370
ji shu 	计数	c=3 d=0.815426 t=15370
ji shu qi 	计数器	c=1 d=0.00390694 t=15370
ji suan 	计算	c=10 d=3.7033 t=15370
ji wan 	几万	c=1 d=1 t=15132
ji xian 	极限	c=1 d=0.694197 t=15370
ji xu 	继续	c=5 d=0.822112 t=15370
ji yi 	记忆	c=2 d=2.63926e-05 t=15370
ji yu 	基于	c=1 d=0.138069 t=15370
ji zai 	记载	c=1 d=2.07078e-05 t=15370
ji zeng 	激增	c=1 d=0.00491728 t=15370
ji zhi 	机制	c=2 d=0.167797 t=15370
ji zuo biao 	极坐标	c=1 d=7.48646e-07 t=15370
jia 	加	c=13 d=2.7603 t=15370
jia gong 	加工	c=1 d=1 t=13349
jia gou 	架构	c=2 d=1.64726 t=13330
jia jian cheng chu 	加减乘除	c=1 d=1 t=15346
jia le 	加了	c=3 d=0.392586 t=15370
jia li fu ni ya 	加利福尼亚	c=1 d=1 t=14247
jia nai liang 	贾乃亮	c=1 d=0.193013 t=15370
jia shang 	加上	c=1 d=0.0161635 t=15370
jia she 	假设	c=2 d=0.2334 t=15370
jia shou 	假手	c=3 d=0.819057 t=15370
jia suo 	加锁	c=20 d=0.158025 t=15370
jia yi 	加一	c=4 d=0.00946131 t=15370
jia yi ge 	加一个	c=1 d=1 t=15180
jia zai 	加载	c=10 d=0.89209 t=15370
jia zhi 	假肢	c=2 d=0.501979 t=15370
jia zhuang 	假装	c=1 d=0.231078 t=15370
jian cha 	检查	c=1 d=1 t=12340
jian dan 	简单	c=6 d=0.904879 t=15370
jian ge 	间隔	c=1 d=0.0792617 t=15370
jian hua 	简化	c=1 d=1.23431e-06 t=15370
jian li 	建立	c=4 d=3.12086 t=14837
jian pan 	键盘	c=2 d=0.193138 t=15370
jian qing 	减轻	c=1 d=0.588605 t=15370
jian rong 	兼容	c=2 d=0.113608 t=15370
jian rong xing 	兼容性	c=3 d=1.16643 t=15370
jian shao 	减少	c=10 d=0.581584 t=15370
jian ting 	监听	c=1 d=1 t=14501
jian tou 	箭头	c=1 d=0.154124 t=15370
jian yao 	简要	c=1 d=1 t=13327
jian yi 	减一	c=3 d=0.00909262 t=15370
jian yi 	建议	c=8 d=1.5984 t=15370
jian yi bu 	建议不	c=0 d=0.00133665 t=15370
jian yi bu jian yi 	建议不建议	c=1 d=0.0134335 t=15370
jian yi xing 	建议性	c=1 d=0.355226 t=15370
jian yue 	简约	c=1 d=0.106459 t=15370
jiang 	将	c=4 d=0.815269 t=15370
jiang di 	降低	c=4 d=0.535732 t=15370
jiang lai 	将来	c=1 d=0.0972957 t=15370
jiang qi 	将其	c=1 d=0.261846 t=15370
jiang shu 	讲述	c=3 d=0.102284 t=15370
jiang yao 	将要	c=1 d=1 t=13639
jiao 	叫	c=1 d=1 t=12256
jiao ben 	脚本	c=2 d=1.00607 t=14218
jiao cheng 	教程	c=1 d=0.904837 t=15370
jiao da 	较大	c=1 d=2.63293e-07 t=15370
jiao di 	较低	c=1 d=0.486752 t=15370
jiao du 	角度	c=2 d=0.701248 t=15370
jiao duo 	较多	c=2 d=0.612626 t=15370
jiao fu 	交付	c=1 d=0.255381 t=15370
jiao gei 	交给	c=1 d=0.458406 t=15370
jiao hu 	交互	c=2 d=0.020141 t=15370
jiao huan 	交换	c=2 d=0.000940562 t=15370
jiao huan 	交还	c=1 d=9.75808e-07 t=15370
jiao huan ji 	交换机	c=2 d=1.0296 t=13249
jiao shen me 	叫什么	c=1 d=1 t=15348
jiao shi 	教师	c=1 d=0.254107 t=15370
jiao ti fa 	交替法	c=1 d=2.30638e-08 t=15370
jiao xiao 	较小	c=1 d=0.540641 t=15370
jiao xiao zhi 	较小值	c=2 d=0.0364504 t=15370
jiao zuo 	叫作	c=3 d=0.389713 t=15370
jie chu 	解除	c=1 d=0.438235 t=15370
jie dian 	节点	c=5 d=0.031273 t=15370
jie duan 	阶段	c=2 d=0.106992 t=15370
jie fa 	解法	c=3 d=0.00142298 t=15370
jie gou 	结构	c=4 d=0.858267 t=15370
jie gou hua 	结构化	c=1 d=1 t=13347
jie guo 	结果	c=25 d=2.13841 t=15370
jie he 	结合	c=1 d=0.763379 t=15370
jie jue 	解决	c=40 d=1.54833 t=15370
jie kou 	借口	c=2 d=0.326701 t=15370
jie kou 	接口	c=3 d=0.390628 t=15370
jie mian 	界面	c=4 d=1.15163 t=15370
jie ou 	解耦	c=3 d=1.07817 t=15370
jie shao 	介绍	c=2 d=1.36972 t=13433
jie shi 	解释	c=6 d=0.615657 t=15370
jie shou 	接受	c=3 d=1.00291 t=14522
jie shou 	接收	c=5 d=1.86599 t=14866
jie shou duan 	接收端	c=1 d=1 t=13247
jie shu 	结束	c=36 d=2.33445 t=15370
jie suo 	解锁	c=10 d=0.318238 t=15370
jie ti 	解题	c=2 d=1.15649 t=15370
jie tu 	截图	c=9 d=0.364455 t=15370
jie xi 	解析	c=4 d=2.57929 t=13421
jie ya 	解压	c=2 d=0.162026 t=15370
jie yu 	介于	c=1 d=0.0608101 t=15370
jie zhe 	接着	c=6 d=0.383407 t=15370
jin 	近	c=1 d=0.140858 t=15370
jin 	进	c=2 d=0.0657047 t=15370
jin bu 	进步	c=1 d=0.0488012 t=15370
jin cheng 	进程	c=17 d=9.03487 t=15370
jin chuang kou 	进窗口	c=4 d=1.36856 t=15370
jin du 	进度	c=3 d=0.219808 t=15370
jin ji 	紧急	c=1 d=1 t=14717
jin jie 	进阶	c=2 d=0.0140926 t=15370
jin jin 	仅仅	c=16 d=0.334153 t=15370
jin jin ni 	仅仅你	c=1 d=0.105399 t=15370
jin liang 	尽量	c=1 d=2.57457e-08 t=15370
jin qu 	进去	c=1 d=0.0867261 t=15370
jin ri 	今日	c=2 d=1.97531 t=12661
jin ru 	进入	c=4 d=0.543351 t=15370
jin tian 	今天	c=4 d=0.0939956 t=15370
jin xing 	进行	c=23 d=0.67449 t=15370
jing chang 	经常	c=1 d=1 t=12916
jing fei 	经费	c=1 d=1 t=14339
jing guo 	经过	c=2 d=0.56945 t=15370
jing li 	精力	c=1 d=1 t=15271
jing li 	经理	c=2 d=0.0394848 t=15370
jing mo 	静默	c=0 d=0.1 t=12000
jing mo geng xin 	静默更新	c=1 d=1 t=12001
jing pin 	精品	c=1 d=1 t=13887
jing ping gu 	经评估	c=1 d=0.429557 t=15370
jing tai 	静态	c=7 d=0.0177743 t=15370
jing tai ce shi 	静态测试	c=1 d=0.0182243 t=15370
jing yan 	经验	c=2 d=0.00565584 t=15370
jing zheng 	竞争	c=2 d=0.0509156 t=15370
jiu 	就	c=78 d=1.8723 t=15370
jiu ba 	就把	c=1 d=0.141564 t=15370
jiu bu 	就不	c=1 d=0.759572 t=15370
jiu bu man zu 	就不满足	c=1 d=0.245367 t=15370
